contest_id,candidate_name,candidate_party,sheet_number,election_year,election_month,candidate_id
198112016,"HENRY ""WAYNE"" HOWARD (I) ",DEM,198,2016,11,73fea0ba927c21fbacba3d4a00a7583e98a4a7cafb14a2e33bf357903d49d3a7
199112016,SHEILA CLARK NELSON ,DEM,199,2016,11,38b5b2b9fa4863da50d01961854745f8c23bb57a04a8a013d3e6b97ec9a5a873
200112016,GLORIA FRAZIER (I) ,DEM,200,2016,11,36d07719b01c9fa5f1e8021805417a751403c51c64fec60fbbeb17ae0be282f7
201112016,BRIAN L. PRINCE (I) ,DEM,201,2016,11,2fe73a3073a681ff929eb26aadd85febb87438c7ecc0c1051d6e8a7fcc7652c2
202112016,MACK JACKSON (I) ,DEM,202,2016,11,36af3b560fd41569726b382ddc21bb0e3a63bca246ef224b43819c3bff0d0274
203112016,SUSAN HOLMES (I) ,REP,203,2016,11,92d3978b6a2cde9355edf97a92363a77bc67ac7fb091725bf7cc3b8fef1da52a
204112016,DAVID KNIGHT (I) ,REP,204,2016,11,0a9d600c307bda5e3538ea95d6384d842fe3bc40c30f7ead61e2552a32a1d3b5
205112016,JOHNNIE CALDWELL (I) ,REP,205,2016,11,716840e9b1c3e922fa80301416248ddf337ca4ca0f008e233c9c4d304f8b8186
206112016,GENE KING ,REP,206,2016,11,a289dda361535d100884b72a41f19c7c5a0e699a299d7df5df790f212d4404d7
206112016,BOB TRAMMELL JR (I) ,DEM,206,2016,11,8d922f7a054c87ea052330c3c048cb4a16ee5fe0bfbc039356cb1f6e96c01371
207112016,JOHN PEZOLD (I) ,REP,207,2016,11,68296005252c18866d7d9957186cb5d883aea78b0f13c17f265b13037f2755bb
208112016,RICHARD SMITH (I) ,REP,208,2016,11,55fcf092f0152e8529a91cdf17b91b8e062ca7b72e895b2446413268cac90588
209112016,CALVIN SMYRE (I) ,DEM,209,2016,11,bb5d58d0199619fde460e8a0a68e9296da23a0ea16a2fd613b98deea558a8c13
210112016,CAROLYN HUGLEY (I) ,DEM,210,2016,11,61b0e921d030c4fe520c9a702154e53e4d54900308e2f47fccd034876d6d4c30
211112016,DEBBIE G.  BUCKNER (I) ,DEM,211,2016,11,5acb963d6c63d557a260f4cfb03d7dc7c83dd373f32ca44e2741723c9aeb9cce
