county_name,candidate_id,election_day,absentee_by_mail,advance_in_person,provisional,total_votes,result_id
Harris,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,5029,457,6449,1,11936,Harris86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Hart,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3047,297,3941,1,7286,Hart86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Heard,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1818,196,1355,1,3370,Heard86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Henry,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,11669,1771,32218,66,45724,Henry86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Houston,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,10481,1478,23416,55,35430,Houston86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Irwin,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1290,76,1345,5,2716,Irwin86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Jackson,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,7758,620,13376,30,21784,Jackson86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Jasper,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1678,210,2465,7,4360,Jasper86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Jeff Davis,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1804,165,2133,2,4104,Jeff Davis86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Jefferson,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1482,155,1422,4,3063,Jefferson86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Jenkins,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,728,95,1069,3,1895,Jenkins86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Johnson,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,969,141,1409,0,2519,Johnson86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Jones,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3063,391,4850,1,8305,Jones86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Lamar,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2013,214,2956,7,5190,Lamar86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Lanier,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,785,45,1154,0,1984,Lanier86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Laurens,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,6409,641,5359,2,12411,Laurens86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Lee,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4925,311,5408,2,10646,Lee86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Liberty,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2760,259,3106,9,6134,Liberty86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Lincoln,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1083,142,1534,0,2759,Lincoln86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Long,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1337,41,1245,3,2626,Long86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Lowndes,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,6629,794,14006,206,21635,Lowndes86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Lumpkin,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2163,395,7056,5,9619,Lumpkin86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Macon,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,493,68,979,0,1540,Macon86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Madison,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4018,371,4806,6,9201,Madison86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Marion,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1089,75,757,0,1921,Marion86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
McDuffie,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1886,273,3273,0,5432,McDuffie86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
McIntosh,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1254,375,1853,5,3487,McIntosh86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Meriwether,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2967,200,2052,3,5222,Meriwether86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Miller,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,768,105,1015,3,1891,Miller86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Mitchell,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2038,193,2041,7,4279,Mitchell86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Monroe,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4103,303,4417,9,8832,Monroe86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Montgomery,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1592,83,995,0,2670,Montgomery86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Morgan,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2449,220,3888,2,6559,Morgan86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Murray,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,5212,258,4871,0,10341,Murray86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Muscogee,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,13014,1639,12299,24,26976,Muscogee86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Newton,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,10445,981,9485,2,20913,Newton86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Oconee,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,5105,535,7780,5,13425,Oconee86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Oglethorpe,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1521,280,2823,1,4625,Oglethorpe86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Paulding,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,12163,2136,30350,13,44662,Paulding86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Peach,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1481,169,3755,8,5413,Peach86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Pickens,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,4425,203,7022,1,11651,Pickens86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Pierce,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1732,277,4292,1,6302,Pierce86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Pike,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2649,280,4344,5,7278,Pike86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Polk,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,3373,345,7291,5,11014,Polk86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Pulaski,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,535,106,1795,1,2437,Pulaski86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Putnam,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,2306,358,3876,4,6544,Putnam86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Quitman,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,235,36,304,0,575,Quitman86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Rabun,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,1097,657,4533,0,6287,Rabun86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
Randolph,86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929,655,34,581,1,1271,Randolph86c4b8db0e614c12343f89ce974b91902e787f1fbd798005af0f140b51d7b929
